carimbo,container,cpu_pct,mem_uso,mem_pct
16:08:35,prontudigital-db,2.98%,138.1MiB / 512MiB,26.98%
16:08:43,prontudigital-backend,0.33%,530.4MiB / 1GiB,51.80%
16:08:43,prontudigital-db,0.01%,137.9MiB / 512MiB,26.94%
16:08:51,prontudigital-backend,0.35%,530.4MiB / 1GiB,51.80%
16:08:51,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:08:59,prontudigital-backend,0.21%,530.4MiB / 1GiB,51.80%
16:08:59,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:09:06,prontudigital-backend,0.47%,530.4MiB / 1GiB,51.80%
16:09:06,prontudigital-db,0.00%,133.9MiB / 512MiB,26.15%
16:09:14,prontudigital-backend,0.29%,530.5MiB / 1GiB,51.80%
16:09:14,prontudigital-db,0.02%,133.9MiB / 512MiB,26.15%
